index,raw,filtered
0,129.0,100.0000
1,124.0,128.9710
2,125.0,126.3683
3,120.0,125.8428
4,126.0,123.9370
5,122.0,124.5535
6,124.0,123.8254
7,128.0,123.8740
8,127.0,125.0059
9,125.0,125.5490
10,126.0,125.4000
11,128.0,125.5625
12,124.0,126.2218
13,124.0,125.6212
14,120.0,125.1831
15,120.0,123.7826
16,125.0,122.7606
17,125.0,123.3656
18,125.0,123.8072
19,126.0,124.1294
20,127.0,124.6348
21,127.0,125.2738
22,121.0,125.7401
23,124.0,124.4595
24,123.0,124.3354
25,127.0,123.9746
26,121.0,124.7920
27,122.0,123.7675
28,121.0,123.2900
29,119.0,122.6714
30,119.0,121.6795
31,123.0,120.9556
32,123.0,121.5079
33,124.0,121.9110
34,119.0,122.4754
35,124.0,121.5365
36,126.0,122.2020
37,122.0,123.2281
38,128.0,122.8963
39,128.0,124.2751
40,122.0,125.2814
41,122.0,124.3949
42,127.0,123.7479
43,124.0,124.6265
44,129.0,124.4572
45,125.0,125.6845
46,122.0,125.4996
47,126.0,124.5541
48,126.0,124.9447
49,128.0,125.2298
50,126.0,125.9782
51,121.0,125.9841
52,126.0,124.6376
53,126.0,125.0057
54,127.0,125.2743
55,126.0,125.7405
56,125.0,125.8106
57,126.0,125.5916
58,125.0,125.7019
59,122.0,125.5123
60,125.0,124.5634
61,123.0,124.6814
62,123.0,124.2271
63,127.0,123.8956
64,124.0,124.7343
65,119.0,124.5359
66,125.0,123.0404
67,120.0,123.5698
68,120.0,122.6054
69,124.0,121.9015
70,127.0,122.4684
71,124.0,123.6927
72,121.0,123.7757
73,122.0,123.0258
74,125.0,122.7487
75,125.0,123.3569
76,123.0,123.8008
77,123.0,123.5845
78,121.0,123.4266
79,121.0,122.7710
80,118.0,122.2926
81,118.0,121.1329
82,125.0,120.2865
83,125.0,121.5599
84,123.0,122.4893
85,121.0,122.6272
86,124.0,122.1876
87,127.0,122.6773
88,120.0,123.8451
89,123.0,122.8063
90,126.0,122.8586
91,126.0,123.7073
92,123.0,124.3267
93,122.0,123.9683
94,121.0,123.4365
95,126.0,122.7783
96,125.0,123.6487
97,123.0,124.0137
98,121.0,123.7399
99,128.0,122.9997
100,127.0,124.3505
101,123.0,125.0663
102,125.0,124.5081
103,125.0,124.6410
104,128.0,124.7380
105,124.0,125.6192
106,124.0,125.1818
107,127.0,124.8625
108,125.0,125.4400
109,127.0,125.3211
110,123.0,125.7747
111,125.0,125.0251
112,126.0,125.0183
113,121.0,125.2835
114,124.0,124.1263
115,122.0,124.0922
116,126.0,123.5270
117,126.0,124.1951
118,120.0,124.6827
119,123.0,123.4176
120,124.0,123.3048
121,123.0,123.4926
122,120.0,123.3595
123,123.0,122.4519
124,128.0,122.6000
125,124.0,124.0588
126,122.0,124.0429
127,122.0,123.4910
128,122.0,123.0882
129,126.0,122.7942
130,126.0,123.6603
131,124.0,124.2924
132,124.0,124.2134
133,123.0,124.1557
134,126.0,123.8435
135,122.0,124.4261
136,130.0,123.7707
137,125.0,125.4536
138,121.0,125.3310
139,121.0,124.1610
140,123.0,123.3070
141,123.0,123.2241
142,124.0,123.1635
143,120.0,123.3895
144,119.0,122.4738
145,119.0,121.5353
146,117.0,120.8504
147,123.0,119.8102
148,115.0,120.6719
149,121.0,119.1396
150,123.0,119.6422
151,119.0,120.5493
152,128.0,120.1308
153,122.0,122.2567
154,127.0,122.1874
155,127.0,123.4875
156,126.0,124.4364
157,125.0,124.8588
158,130.0,124.8970
159,130.0,126.2756
160,129.0,127.2818
161,128.0,127.7460
162,129.0,127.8146
163,133.0,128.1348
164,133.0,129.4492
165,133.0,130.4085
166,126.0,131.1086
167,126.0,129.7285
168,126.0,128.7212
169,126.0,127.9860
170,127.0,127.4495
171,123.0,127.3281
172,123.0,126.1588
173,123.0,125.3054
174,123.0,124.6826
175,126.0,124.2280
176,127.0,124.7067
177,127.0,125.3263
178,127.0,125.7784
179,122.0,126.1085
180,125.0,124.9985
181,126.0,124.9989
182,125.0,125.2694
183,123.0,125.1966
184,123.0,124.6032
185,121.0,124.1701
186,121.0,123.3137
187,124.0,122.6886
188,124.0,123.0429
189,124.0,123.3015
190,120.0,123.4902
191,123.0,122.5473
192,118.0,122.6696
193,118.0,121.4081
194,120.0,120.4874
195,120.0,120.3557
196,122.0,120.2596
197,129.0,120.7298
198,123.0,122.9640
199,122.0,122.9737
200,122.0,122.7107
201,123.0,122.5187
202,121.0,122.6487
203,123.0,122.2033
204,124.0,122.4185
205,124.0,122.8458
206,124.0,123.1576
207,126.0,123.3852
208,127.0,124.0916
209,126.0,124.8773
210,129.0,125.1806
211,128.0,126.2124
212,129.0,126.6954
213,132.0,127.3180
214,135.0,128.5829
215,127.0,130.3165
216,127.0,129.4205
217,132.0,128.7666
218,132.0,129.6401
219,132.0,130.2777
220,127.0,130.7430
221,130.0,129.7318
222,130.0,129.8042
223,128.0,129.8571
224,128.0,129.3554
225,126.0,128.9892
226,133.0,128.1817
227,128.0,129.4834
228,127.0,129.0826
229,119.0,128.5200
230,121.0,125.9481
231,115.0,124.6113
232,117.0,122.0148
233,114.0,120.6600
234,114.0,118.8608
235,112.0,117.5476
236,101.0,116.0489
237,97.0,111.9833
238,96.0,107.9355
239,96.0,104.7110
240,93.0,102.3577
241,96.0,99.8297
242,96.0,98.7951
243,96.0,98.0400
244,99.0,97.4888
245,101.0,97.8971
246,99.0,98.7354
247,102.0,98.8069
248,116.0,99.6695
249,121.0,104.0813
250,121.0,108.6520
251,126.0,111.9879
252,126.0,115.7733
253,127.0,118.5361
254,127.0,120.8227
255,129.0,122.4915
256,129.0,124.2498
257,129.0,125.5331
258,126.0,126.4697
259,125.0,126.3428
260,124.0,125.9801
261,128.0,125.4451
262,126.0,126.1353
263,129.0,126.0988
264,127.0,126.8826
265,125.0,126.9143
266,127.0,126.3971
267,125.0,126.5600
268,123.0,126.1386
269,127.0,125.2907
270,126.0,125.7524
271,121.0,125.8193
272,121.0,124.5174
273,124.0,123.5671
274,124.0,123.6841
275,124.0,123.7694
276,124.0,123.8317
277,120.0,123.8772
278,120.0,122.8297
279,120.0,122.0653
280,120.0,121.5073
281,116.0,121.1001
282,116.0,119.7223
283,117.0,118.7167
284,117.0,118.2529
