index,raw,filtered
0,124.0,0.0000
1,127.0,123.8761
2,127.0,125.5117
3,123.0,126.0833
4,120.0,125.0776
5,119.0,123.5603
6,125.0,122.2601
7,125.0,123.0219
8,122.0,123.5645
9,122.0,123.1384
10,120.0,122.8295
11,124.0,122.0633
12,120.0,122.5872
13,119.0,121.8878
14,119.0,121.1074
15,121.0,120.5379
16,121.0,120.6628
17,118.0,120.7539
18,120.0,120.0099
19,122.0,120.0072
20,119.0,120.5456
21,122.0,120.1280
22,120.0,120.6338
23,123.0,120.4625
24,125.0,121.1481
25,124.0,122.1887
26,121.0,122.6780
27,122.0,122.2247
28,122.0,122.1640
29,123.0,122.1197
30,122.0,122.3575
31,123.0,122.2609
32,126.0,122.4606
33,126.0,123.4168
34,124.0,124.1147
35,123.0,124.0837
36,121.0,123.7909
37,124.0,123.0369
38,122.0,123.2971
39,122.0,122.9467
40,126.0,122.6909
41,126.0,123.5849
42,126.0,124.2374
43,126.0,124.7135
44,131.0,125.0611
45,128.0,126.6655
46,130.0,127.0260
47,127.0,127.8295
48,128.0,127.6054
49,125.0,127.7120
50,126.0,126.9793
51,126.0,126.7148
52,126.0,126.5217
53,130.0,126.3807
54,126.0,127.3585
55,126.0,126.9915
56,123.0,126.7236
57,126.0,125.7177
58,124.0,125.7939
59,121.0,125.3093
60,121.0,124.1451
61,125.0,123.2954
62,125.0,123.7559
63,123.0,124.0920
64,124.0,123.7970
65,123.0,123.8519
66,126.0,123.6217
67,126.0,124.2642
68,126.0,124.7332
69,126.0,125.0754
70,126.0,125.3252
71,126.0,125.5075
72,126.0,125.6405
73,126.0,125.7377
74,122.0,125.8085
75,123.0,124.7796
76,126.0,124.2989
77,120.0,124.7584
78,122.0,123.4729
79,121.0,123.0750
80,122.0,122.5144
81,126.0,122.3754
82,123.0,123.3546
83,123.0,123.2588
84,119.0,123.1889
85,123.0,122.0572
86,121.0,122.3119
87,123.0,121.9575
88,121.0,122.2391
89,121.0,121.9044
90,120.0,121.6601
91,121.0,121.2116
92,118.0,121.1544
93,122.0,120.3022
94,122.0,120.7609
