index,raw,filtered
0,129.0,0.0000
1,126.0,128.8711
2,123.0,127.3679
3,123.0,125.6903
4,122.0,124.8127
5,124.0,123.9722
6,124.0,123.9801
7,125.0,123.9857
8,123.0,124.2639
9,121.0,123.9197
10,123.0,123.1275
11,123.0,123.0929
12,121.0,123.0678
13,121.0,122.5088
14,120.0,122.1010
15,120.0,121.5333
16,126.0,121.1191
17,121.0,122.4377
18,121.0,122.0493
19,121.0,121.7658
20,122.0,121.5589
21,123.0,121.6781
22,121.0,122.0352
23,122.0,121.7555
24,125.0,121.8216
25,129.0,122.6803
26,125.0,124.3876
27,128.0,124.5530
28,129.0,125.4842
29,130.0,126.4340
30,131.0,127.3974
31,131.0,128.3707
32,127.0,129.0810
33,132.0,128.5188
34,130.0,129.4593
35,130.0,129.6054
36,130.0,129.7120
37,127.0,129.7898
38,127.0,129.0361
39,127.0,128.4860
40,123.0,128.0846
41,128.0,126.7109
42,128.0,127.0592
43,124.0,127.3134
44,124.0,126.4182
45,122.0,125.7649
46,126.0,124.7478
47,131.0,125.0861
48,130.0,126.6838
49,125.0,127.5797
50,127.0,126.8828
51,125.0,126.9144
52,125.0,126.3972
53,124.0,126.0198
54,124.0,125.4741
55,120.0,125.0759
56,125.0,123.7046
57,120.0,124.0546
58,120.0,122.9592
59,128.0,122.1597
60,128.0,123.7375
61,122.0,124.8891
62,122.0,124.1086
63,117.0,123.5389
64,122.0,121.7724
65,121.0,121.8339
66,120.0,121.6086
67,122.0,121.1740
68,122.0,121.3972
69,122.0,121.5600
70,124.0,121.6789
71,124.0,122.3060
72,125.0,122.7636
73,120.0,123.3678
74,123.0,122.4580
75,121.0,122.6044
76,126.0,122.1710
77,126.0,123.2054
78,125.0,123.9604
79,123.0,124.2412
80,124.0,123.9059
81,121.0,123.9313
82,127.0,123.1394
83,123.0,124.1824
84,126.0,123.8629
85,127.0,124.4403
86,122.0,125.1318
87,128.0,124.2857
88,132.0,125.2892
89,127.0,127.1021
90,128.0,127.0745
91,128.0,127.3246
92,127.0,127.5070
93,127.0,127.3701
94,128.0,127.2701
95,127.0,127.4673
96,126.0,127.3410
97,128.0,126.9787
98,124.0,127.2546
99,122.0,126.3754
100,122.0,125.1933
101,122.0,124.3306
102,125.0,123.7010
103,123.0,124.0519
104,121.0,123.7677
105,124.0,123.0200
106,122.0,123.2848
107,121.0,122.9377
108,120.0,122.4142
109,120.0,121.7620
110,119.0,121.2860
111,120.0,120.6684
112,120.0,120.4878
113,119.0,120.3560
114,118.0,119.9897
115,123.0,119.4522
116,117.0,120.4106
117,117.0,119.4892
118,119.0,118.8168
119,119.0,118.8663
120,117.0,118.9024
121,116.0,118.3884
122,123.0,117.7432
123,116.0,119.1634
124,116.0,118.3088
125,120.0,117.6850
126,120.0,118.3104
127,128.0,118.7669
128,128.0,121.2613
129,122.0,123.0818
130,125.0,122.7895
131,125.0,123.3867
132,127.0,123.8225
133,124.0,124.6810
134,128.0,124.4970
135,126.0,125.4433
136,124.0,125.5937
137,127.0,125.1632
138,129.0,125.6594
139,128.0,126.5619
140,126.0,126.9504
141,126.0,126.6936
142,129.0,126.5063
143,131.0,127.1800
144,131.0,128.2120
145,130.0,128.9652
146,130.0,129.2447
147,129.0,129.4488
148,127.0,129.3275
149,127.0,128.6987
150,122.0,128.2398
151,124.0,126.5541
152,123.0,125.8641
153,121.0,125.0903
154,123.0,123.9853
155,123.0,123.7191
156,124.0,123.5248
157,124.0,123.6532
158,122.0,123.7469
159,124.0,123.2750
160,122.0,123.4708
161,122.0,123.0735
162,122.0,122.7835
163,127.0,122.5718
164,125.0,123.7681
165,122.0,124.1009
166,124.0,123.5333
167,122.0,123.6594
168,124.0,123.2111
169,126.0,123.4242
170,123.0,124.1201
171,124.0,123.8175
172,120.0,123.8668
173,125.0,122.8222
174,123.0,123.4105
175,123.0,123.2996
176,122.0,123.2187
177,119.0,122.8894
178,119.0,121.8387
179,121.0,121.0718
180,121.0,121.0524
181,120.0,121.0382
182,120.0,120.7578
183,120.0,120.5530
184,120.0,120.4036
185,120.0,120.2946
186,105.0,120.2150
187,99.0,116.1046
188,99.0,111.4837
189,96.0,108.1111
190,96.0,104.8392
191,98.0,102.4513
192,94.0,101.2487
193,92.0,99.2904
194,92.0,97.3209
195,92.0,95.8834
196,95.0,94.8343
197,95.0,94.8791
198,100.0,94.9117
199,101.0,96.2864
200,106.0,97.5598
201,119.0,99.8400
202,123.0,105.0162
203,123.0,109.8746
204,120.0,113.4205
205,124.0,115.1980
206,127.0,117.5759
207,127.0,120.1219
208,124.0,121.9801
209,127.0,122.5258
210,127.0,123.7345
211,122.0,124.6167
212,122.0,123.9098
213,122.0,123.3938
214,122.0,123.0173
215,121.0,122.7425
216,125.0,122.2717
217,125.0,123.0088
218,122.0,123.5467
219,122.0,123.1289
220,125.0,122.8239
221,127.0,123.4118
222,120.0,124.3812
223,123.0,123.1976
224,123.0,123.1442
225,125.0,123.1052
226,121.0,123.6171
227,120.0,122.9101
228,118.0,122.1239
229,122.0,121.0098
230,117.0,121.2773
231,117.0,120.1218
232,117.0,119.2784
233,117.0,118.6629
234,117.0,118.2136
235,115.0,117.8858
236,115.0,117.1062
237,109.0,116.5372
