index,raw,filtered
0,122.0,0.0000
1,122.0,121.8781
2,123.0,121.9419
3,123.0,122.3483
4,121.0,122.5609
5,122.0,122.0945
6,119.0,122.0675
7,126.0,121.2146
8,119.0,122.5274
9,121.0,121.5666
10,121.0,121.4129
11,119.0,121.3011
12,119.0,120.6787
13,120.0,120.2249
14,124.0,120.1641
15,126.0,121.2006
16,117.0,122.4973
17,117.0,121.0121
18,123.0,119.9282
19,118.0,120.7581
20,123.0,120.0129
21,125.0,120.8199
22,125.0,121.9492
23,121.0,122.7734
24,121.0,122.2943
25,124.0,121.9446
26,122.0,122.4999
27,123.0,122.3649
28,122.0,122.5364
29,125.0,122.3915
30,126.0,123.0962
31,125.0,123.8807
32,124.0,124.1831
33,125.0,124.1336
34,131.0,124.3677
35,126.0,126.1594
36,126.0,126.1164
37,127.0,126.0849
38,127.0,126.3321
39,128.0,126.5126
40,125.0,126.9144
41,130.0,126.3972
42,129.0,127.3705
43,129.0,127.8107
44,129.0,128.1320
45,129.0,128.3665
46,124.0,128.5377
47,124.0,127.3118
48,124.0,126.4171
49,125.0,125.7641
50,125.0,125.5577
51,124.0,125.4070
52,122.0,125.0269
53,122.0,124.2092
54,126.0,123.6123
55,125.0,124.2574
56,125.0,124.4580
57,124.0,124.6044
58,124.0,124.4411
59,121.0,124.3220
60,122.0,123.4245
61,126.0,123.0397
62,121.0,123.8394
63,124.0,123.0723
64,120.0,123.3229
65,124.0,122.4252
66,125.0,122.8507
67,121.0,123.4313
68,121.0,122.7745
69,121.0,122.2951
70,124.0,121.9452
71,122.0,122.5003
72,122.0,122.3652
73,122.0,122.2665
74,122.0,122.1945
75,125.0,122.1420
76,123.0,122.9141
77,123.0,122.9373
78,121.0,122.9542
79,121.0,122.4263
80,120.0,122.0410
81,120.0,121.4896
82,124.0,121.0872
83,122.0,121.8741
84,127.0,121.9081
85,126.0,123.2837
86,124.0,124.0175
87,128.0,124.0128
88,121.0,125.0900
89,126.0,123.9850
90,123.0,124.5294
91,126.0,124.1162
92,127.0,124.6251
93,127.0,125.2667
94,127.0,125.7350
95,127.0,126.0767
96,127.0,126.3262
97,126.0,126.5082
98,129.0,126.3709
99,126.0,127.0812
100,125.0,126.7891
101,125.0,126.3058
102,127.0,125.9530
103,127.0,126.2359
104,123.0,126.4423
105,118.0,125.5123
106,124.0,123.4828
107,122.0,123.6225
108,122.0,123.1842
109,122.0,122.8643
110,122.0,122.6308
111,127.0,122.4604
112,129.0,123.6868
113,127.0,125.1222
114,129.0,125.6295
115,124.0,126.5401
116,127.0,125.8538
117,124.0,126.1635
118,126.0,125.5790
119,125.0,125.6927
120,125.0,125.5056
121,123.0,125.3690
122,126.0,124.7290
123,118.0,125.0724
124,123.0,123.1617
125,122.0,123.1180
126,122.0,122.8160
127,123.0,122.5955
128,123.0,122.7048
129,121.0,122.7846
130,121.0,122.3024
131,125.0,121.9506
132,127.0,122.7744
133,127.0,123.9160
134,125.0,124.7491
135,128.0,124.8169
136,125.0,125.6768
137,125.0,125.4940
138,125.0,125.3605
139,123.0,125.2631
140,123.0,124.6517
141,122.0,124.2055
142,124.0,123.6097
143,119.0,123.7151
144,128.0,122.4413
145,122.0,123.9430
146,124.0,123.4181
147,124.0,123.5753
148,122.0,123.6900
149,122.0,123.2335
150,125.0,122.9002
151,123.0,123.4675
152,123.0,123.3412
153,125.0,123.2490
154,124.0,123.7221
155,127.0,123.7971
156,121.0,124.6624
157,121.0,123.6730
158,122.0,122.9509
159,122.0,122.6940
160,123.0,122.5065
161,122.0,122.6398
162,124.0,122.4670
163,126.0,122.8811
164,126.0,123.7237
165,121.0,124.3387
166,121.0,123.4367
167,119.0,122.7784
168,118.0,121.7577
169,120.0,120.7425
170,119.0,120.5419
171,123.0,120.1254
172,118.0,120.9020
173,120.0,120.1180
174,120.0,120.0861
175,119.0,120.0628
176,118.0,119.7757
177,115.0,119.2960
178,118.0,118.1354
179,116.0,118.0988
180,118.0,117.5318
181,120.0,117.6583
182,113.0,118.2909
183,107.0,116.8615
184,107.0,114.1974
185,107.0,112.2530
186,107.0,110.8338
187,109.0,109.7981
188,110.0,109.5825
189,101.0,109.6953
190,105.0,107.3462
191,105.0,106.7124
192,104.0,106.2498
193,105.0,105.6420
194,102.0,105.4685
195,106.0,104.5315
196,106.0,104.9282
197,107.0,105.2178
198,111.0,105.6992
199,110.0,107.1313
200,108.0,107.9063
201,109.0,107.9316
202,119.0,108.2202
203,116.0,111.1325
204,124.0,112.4475
205,125.0,115.5684
206,125.0,118.1164
207,121.0,119.9761
208,121.0,120.2527
209,125.0,120.4546
210,125.0,121.6826
211,125.0,122.5788
212,125.0,123.2329
213,120.0,123.7103
214,119.0,122.7079
215,119.0,121.7062
216,125.0,120.9751
217,125.0,122.0625
218,123.0,122.8561
219,123.0,122.8949
220,125.0,122.9233
221,122.0,123.4844
222,122.0,123.0833
223,125.0,122.7907
224,125.0,123.3875
225,126.0,123.8232
226,126.0,124.4112
227,125.0,124.8405
228,128.0,124.8836
229,121.0,125.7255
230,125.0,124.4489
231,126.0,124.5978
232,124.0,124.9766
233,126.0,124.7128
234,127.0,125.0605
235,121.0,125.5845
236,123.0,124.3460
237,122.0,123.9823
