index,raw,filtered
0,120.0,0.0000
1,119.0,119.8801
2,121.0,119.4193
3,121.0,120.0264
4,123.0,120.3440
5,123.0,121.1377
6,120.0,121.6686
7,122.0,121.2047
8,122.0,121.4229
9,123.0,121.5801
10,117.0,121.9653
11,116.0,120.6208
12,116.0,119.3709
13,122.0,118.4597
14,125.0,119.4164
15,119.0,120.9252
16,119.0,120.4050
17,119.0,120.0254
18,123.0,119.7484
19,123.0,120.6268
20,123.0,121.2680
21,121.0,121.7359
22,130.0,121.5371
23,126.0,123.8234
24,126.0,124.4114
25,125.0,124.8406
26,125.0,124.8837
27,129.0,124.9151
28,130.0,126.0186
29,121.0,127.0942
30,124.0,125.4478
31,127.0,125.0567
32,121.0,125.5817
33,120.0,124.3439
34,125.0,123.1704
35,118.0,123.6647
36,123.0,122.1343
37,124.0,122.3682
38,125.0,122.8090
39,125.0,123.4009
40,119.0,123.8329
41,119.0,122.5273
42,119.0,121.5744
43,124.0,120.8789
44,131.0,121.7221
45,125.0,124.2286
46,126.0,124.4370
47,126.0,124.8592
48,126.0,125.1674
49,125.0,125.3923
50,130.0,125.2864
51,126.0,126.5598
52,126.0,126.4085
53,127.0,126.2982
54,118.0,126.4878
55,120.0,124.1948
56,123.0,123.0615
57,119.0,123.0449
58,122.0,121.9521
59,125.0,121.9651
60,121.0,122.7850
61,122.0,122.3028
62,124.0,122.2210
63,121.0,122.7016
64,123.0,122.2419
65,121.0,122.4467
66,123.0,122.0559
67,123.0,122.3109
68,126.0,122.4971
69,126.0,123.4434
70,120.0,124.1341
71,123.0,123.0172
72,128.0,123.0126
73,128.0,124.3600
74,121.0,125.3433
75,121.0,124.1700
76,125.0,123.3136
77,123.0,123.7692
78,128.0,123.5614
79,128.0,124.7605
80,128.0,125.6357
81,125.0,126.2744
82,126.0,125.9301
83,128.0,125.9490
84,128.0,126.5031
85,123.0,126.9075
86,123.0,125.8519
87,123.0,125.0814
88,126.0,124.5191
89,127.0,124.9192
90,125.0,125.4813
91,122.0,125.3513
92,121.0,124.4459
93,120.0,123.5150
94,125.0,122.5654
95,125.0,123.2231
96,124.0,123.7032
97,122.0,123.7833
98,127.0,123.3016
99,120.0,124.3007
100,120.0,123.1389
101,119.0,122.2909
102,119.0,121.4018
103,124.0,120.7530
104,122.0,121.6302
105,117.0,121.7301
106,117.0,120.4522
107,117.0,119.5196
108,105.0,118.8389
109,105.0,115.1002
110,103.0,112.3716
111,98.0,109.8398
112,101.0,106.6412
113,97.0,105.1172
114,100.0,102.9243
115,100.0,102.1343
116,97.0,101.5577
117,98.0,100.3264
118,99.0,99.6979
119,102.0,99.5094
120,102.0,100.1822
121,105.0,100.6733
122,107.0,101.8422
123,114.0,103.2356
124,115.0,106.1437
125,115.0,108.5363
126,119.0,110.2825
127,119.0,112.6376
128,123.0,114.3564
129,118.0,116.6915
130,118.0,117.0450
131,130.0,117.3030
132,126.0,120.7332
133,123.0,122.1560
134,121.0,122.3840
135,121.0,122.0101
136,130.0,121.7372
137,126.0,123.9695
138,126.0,124.5180
139,121.0,124.9184
140,121.0,123.8598
141,123.0,123.0872
142,123.0,123.0637
143,123.0,123.0465
144,124.0,123.0339
145,120.0,123.2949
146,119.0,122.4048
147,121.0,121.4849
148,124.0,121.3539
149,120.0,122.0688
150,123.0,121.5099
151,122.0,121.9125
152,125.0,121.9361
153,123.0,122.7638
154,128.0,122.8276
155,128.0,124.2250
156,125.0,125.2448
157,124.0,125.1787
158,125.0,124.8603
159,125.0,124.8980
160,125.0,124.9256
