index,raw,filtered
0,131.0,0.0000
1,131.0,130.8691
2,129.0,130.9377
3,125.0,130.1934
4,124.0,128.4994
5,123.0,127.1549
6,120.0,125.9703
7,121.0,124.3103
8,123.0,123.4022
9,123.0,123.2926
10,122.0,123.2132
11,122.0,122.8847
12,124.0,122.6454
13,128.0,123.0116
14,126.0,124.3597
15,120.0,124.8029
16,123.0,123.5053
17,127.0,123.3688
18,124.0,124.3498
19,126.0,124.2553
20,122.0,124.7266
21,123.0,123.9900
22,121.0,123.7226
23,127.0,122.9870
24,121.0,124.0712
25,127.0,123.2415
26,127.0,124.2569
27,128.0,124.9979
28,128.0,125.8090
29,125.0,126.4009
30,122.0,126.0224
31,127.0,124.9357
32,120.0,125.4934
33,123.0,124.0093
34,120.0,123.7367
35,120.0,122.7272
36,121.0,121.9904
37,121.0,121.7228
38,126.0,121.5276
39,124.0,122.7358
40,126.0,123.0773
41,125.0,123.8669
42,125.0,124.1730
43,126.0,124.3964
44,123.0,124.8297
45,127.0,124.3354
46,127.0,125.0552
47,127.0,125.5806
48,128.0,125.9641
49,124.0,126.5141
50,127.0,125.8349
51,130.0,126.1497
52,129.0,127.1898
53,129.0,127.6789
54,129.0,128.0358
55,132.0,128.2963
56,127.0,129.2969
57,127.0,128.6763
58,128.0,128.2235
59,128.0,128.1631
60,127.0,128.1190
61,127.0,127.8167
62,124.0,127.5961
63,124.0,126.6246
64,125.0,125.9155
65,125.0,125.6682
66,126.0,125.4877
67,125.0,125.6261
68,126.0,125.4569
69,126.0,125.6037
70,126.0,125.7107
71,128.0,125.7889
72,126.0,126.3862
73,124.0,126.2819
74,131.0,125.6654
75,128.0,127.1066
76,124.0,127.3479
77,123.0,126.4435
78,128.0,125.5132
79,129.0,126.1850
80,129.0,126.9455
81,123.0,127.5005
82,127.0,126.2847
83,125.0,126.4779
84,124.0,126.0787
85,124.0,125.5171
86,123.0,125.1072
87,117.0,124.5380
88,123.0,122.5015
89,121.0,122.6362
90,121.0,122.1942
91,124.0,121.8716
92,124.0,122.4466
93,124.0,122.8662
94,118.0,123.1725
95,129.0,121.7751
96,129.0,123.7270
97,129.0,125.1515
98,125.0,126.1912
99,125.0,125.8694
100,128.0,125.6345
101,124.0,126.2736
102,120.0,125.6594
103,127.0,124.1304
104,125.0,124.9057
105,126.0,124.9312
106,128.0,125.2199
107,128.0,125.9710
108,127.0,126.5191
109,131.0,126.6490
110,126.0,127.8245
111,128.0,127.3316
112,126.0,127.5122
113,126.0,127.1036
114,123.0,126.8055
115,123.0,125.7774
116,129.0,125.0271
117,129.0,126.1004
118,125.0,126.8837
119,126.0,126.3748
120,125.0,126.2736
121,124.0,125.9295
122,124.0,125.4082
123,122.0,125.0278
124,122.0,124.2098
125,125.0,123.6128
126,121.0,123.9876
127,121.0,123.1805
128,129.0,122.5914
129,129.0,124.3227
130,123.0,125.5863
131,125.0,124.8876
132,121.0,124.9180
133,121.0,123.8595
134,124.0,123.0870
135,122.0,123.3336
136,118.0,122.9734
137,123.0,121.6298
138,119.0,121.9999
139,120.0,121.1895
140,116.0,120.8681
141,119.0,119.5530
142,114.0,119.4036
143,118.0,117.9438
144,118.0,117.9590
145,120.0,117.9701
146,120.0,118.5185
147,120.0,118.9187
148,120.0,119.2108
149,125.0,119.4240
150,124.0,120.9304
151,121.0,121.7597
152,125.0,121.5544
153,125.0,122.4853
154,129.0,123.1647
155,129.0,124.7411
156,123.0,125.8917
157,127.0,125.1105
158,128.0,125.6209
159,124.0,126.2637
160,128.0,125.6521
161,124.0,126.2864
162,125.0,125.6687
163,126.0,125.4881
164,129.0,125.6264
165,130.0,126.5378
166,128.0,127.4731
167,128.0,127.6155
168,125.0,127.7193
169,125.0,126.9847
170,127.0,126.4485
171,123.0,126.5975
172,123.0,125.6256
173,125.0,124.9163
174,125.0,124.9389
175,126.0,124.9554
176,126.0,125.2376
177,125.0,125.4436
178,125.0,125.3237
179,123.0,125.2363
180,126.0,124.6321
181,126.0,125.0017
182,125.0,125.2714
183,122.0,125.1981
184,123.0,124.3341
185,123.0,123.9737
186,124.0,123.7106
187,126.0,123.7888
188,124.0,124.3862
189,125.0,124.2818
190,126.0,124.4759
191,121.0,124.8876
192,127.0,123.8374
193,125.0,124.6918
194,126.0,124.7750
195,123.0,125.1060
196,123.0,124.5370
197,123.0,124.1218
198,124.0,123.8187
199,126.0,123.8677
200,126.0,124.4438
201,127.0,124.8642
202,127.0,125.4412
203,123.0,125.8623
204,119.0,125.0890
205,126.0,123.4440
206,120.0,124.1346
207,126.0,123.0176
208,123.0,123.8233
209,123.0,123.6009
210,126.0,123.4385
211,126.0,124.1305
212,126.0,124.6356
213,126.0,125.0042
214,130.0,125.2732
215,127.0,126.5502
216,129.0,126.6717
217,125.0,127.3007
218,128.0,126.6792
219,129.0,127.0360
220,129.0,127.5666
221,127.0,127.9538
222,128.0,127.6961
223,131.0,127.7782
224,127.0,128.6486
225,127.0,128.2032
226,128.0,127.8782
227,132.0,127.9111
228,126.0,129.0157
229,126.0,128.2010
230,130.0,127.6064
231,127.0,128.2530
232,128.0,127.9145
233,130.0,127.9376
234,130.0,128.4948
235,126.0,128.9014
236,125.0,128.1176
237,125.0,127.2754
238,125.0,126.6607
239,125.0,126.2120
240,125.0,125.8846
241,127.0,125.6456
242,126.0,126.0115
243,121.0,126.0084
244,126.0,124.6553
245,121.0,125.0186
246,124.0,123.9330
247,124.0,123.9511
248,121.0,123.9643
249,123.0,123.1635
250,125.0,123.1193
